archetype,partite,piloti,quota_%
Marnie's Grimmsnarl ex + Munkidori,6934,200,40.2
Fezandipiti ex + Alakazam,3948,248,22.9
Team Rocket's Mewtwo ex + Team Rocket's Spidops,1324,54,7.7
Cynthia's Garchomp ex + Cynthia's Roserade,1133,58,6.6
Mega Kangaskhan ex + Crustle,864,75,5.0
Dragapult ex + Fezandipiti ex,322,31,1.9
Mega Kangaskhan ex + Cornerstone Mask Ogerpon ex,200,5,1.2
Mega Lucario ex + Solrock,192,18,1.1
Mega Kangaskhan ex + Raging Bolt ex,183,2,1.1
Archaludon ex + Cinderace,159,100,0.9
Alakazam + Dudunsparce,158,45,0.9
Mega Lucario ex + Hariyama,150,137,0.9
Mega Lopunny ex + N’s Zoroark ex,122,3,0.7
Mega Lopunny ex + Dudunsparce,118,3,0.7
Thwackey + Dipplin,115,5,0.7
N’s Zoroark ex + N’s Reshiram,110,2,0.6
Cornerstone Mask Ogerpon ex + Team Rocket's Articuno,109,3,0.6
Team Rocket's Articuno + Brambleghast,109,1,0.6
Fezandipiti ex + Dudunsparce,91,19,0.5
Mega Starmie ex + Mega Froslass ex,63,25,0.4
Dragapult ex + Latias ex,62,52,0.4
Dragapult ex + Dudunsparce ex,59,10,0.3
Dudunsparce + Alakazam,56,36,0.3
Marnie's Grimmsnarl ex + Fezandipiti ex,47,11,0.3
Hydrapple ex + Teal Mask Ogerpon ex,43,5,0.2
Crustle + Great Tusk,42,32,0.2
Mega Starmie ex + Cinderace,41,33,0.2
Mega Abomasnow ex + Maximum Belt,38,38,0.2
Mega Lucario ex + Cornerstone Mask Ogerpon ex,36,7,0.2
Cornerstone Mask Ogerpon ex + Crustle,33,4,0.2
Iono’s Bellibolt ex + Iono’s Kilowattrel,30,23,0.2
Marnie's Grimmsnarl ex + Dudunsparce,21,12,0.1
Mega Starmie ex + Dusknoir,19,7,0.1
Crustle + Dwebble,17,16,0.1
Mega Abomasnow ex + Kyogre,17,17,0.1
Mega Gardevoir ex + Mega Lopunny ex,13,1,0.1
Hop’s Snorlax + Hop's Trevenant,10,8,0.1
Archaludon ex + Meowth ex,10,1,0.1
Team Rocket's Mewtwo ex + Lillie’s Clefairy ex,10,3,0.1
Archaludon ex + Duraludon,9,6,0.1
Mega Starmie ex + Dragapult ex,7,1,0.0
Brambleghast + Comfey,7,1,0.0
Cornerstone Mask Ogerpon ex + Cinderace,7,1,0.0
Team Rocket's Porygon-Z + Team Rocket's Honchkrow,6,2,0.0
Mega Kangaskhan ex + Hero’s Cape,6,1,0.0
Ethan's Typhlosion + Crustle,6,3,0.0
Hop’s Snorlax + Dudunsparce,6,6,0.0
Mega Gengar ex + Marnie's Grimmsnarl ex,6,1,0.0
Teal Mask Ogerpon ex + Crustle,5,4,0.0
Seaking + Thwackey,5,1,0.0
Cornerstone Mask Ogerpon ex + Chandelure,5,1,0.0
Cynthia's Garchomp ex + Cynthia's Power Weight,4,3,0.0
Mega Lopunny ex + Mega Froslass ex,4,2,0.0
Mega Lucario ex + Riolu,4,4,0.0
Mega Venusaur ex + Crustle,4,1,0.0
Dragapult ex + Skeledirge,4,1,0.0
Chandelure + Lampent,4,4,0.0
Sylveon + Brambleghast,4,1,0.0
Dudunsparce + Shaymin,3,1,0.0
Genesect + Thwackey,3,2,0.0
Mega Kangaskhan ex + Mega Heracross ex,3,1,0.0
Mega Abomasnow ex + Snover,3,3,0.0
Dragapult ex + Blaziken ex,3,3,0.0
Chandelure + Team Rocket's Articuno,3,1,0.0
Mega Starmie ex + Cornerstone Mask Ogerpon ex,3,1,0.0
Tauros + Paldean Tauros,3,1,0.0
Brambleghast + Shaymin,3,2,0.0
Archaludon ex + Cornerstone Mask Ogerpon ex,3,1,0.0
Cornerstone Mask Ogerpon ex + Bloodmoon Ursaluna,2,1,0.0
Archaludon ex + Archaludon,2,2,0.0
Bloodmoon Ursaluna + Okidogi,2,1,0.0
Mega Kangaskhan ex + Teal Mask Ogerpon ex,2,1,0.0
Mega Sharpedo ex + Mega Lopunny ex,2,1,0.0
Crustle + Munkidori,2,2,0.0
Yveltal + Shaymin,2,1,0.0
Team Rocket's Honchkrow + Team Rocket's Articuno,2,1,0.0
Team Rocket's Kangaskhan ex + Iron Thorns ex,2,1,0.0
Rillaboom + Seaking,2,2,0.0
Mega Lopunny ex + Dragapult ex,2,1,0.0
Mega Kangaskhan ex + Koraidon ex,2,1,0.0
Dragapult ex + Dudunsparce,2,2,0.0
Mega Mawile ex + Archaludon ex,2,2,0.0
Teal Mask Ogerpon ex + Meganium,2,2,0.0
Dragapult ex + Munkidori,2,2,0.0
Mega Lopunny ex + Erika's Vileplume ex,2,1,0.0
Mega Lucario ex + Great Tusk,2,1,0.0
Mega Lucario ex + Koraidon ex,2,1,0.0
Mega Venusaur ex + Teal Mask Ogerpon ex,2,2,0.0
Dragapult ex + Cornerstone Mask Ogerpon ex,2,1,0.0
Alakazam + Kadabra,1,1,0.0
Crustle + Teal Mask Ogerpon,1,1,0.0
Crustle + Tapu Bulu,1,1,0.0
Crustle + Hariyama,1,1,0.0
Crustle + Alakazam,1,1,0.0
Cornerstone Mask Ogerpon ex + Drednaw,1,1,0.0
