agent,partite,vittorie,winrate,elo
szlachetny snieg,153,101,0.6601307189542484,1221
Majkel1337,312,190,0.6089743589743589,1193
matheus,109,72,0.6605504587155964,1185
ktr,132,79,0.5984848484848485,1182
Dominic Peel,178,108,0.6067415730337079,1181
213tubo,172,104,0.6046511627906976,1171
Pokemon Siuuuu,114,65,0.5701754385964912,1166
junseo lee,128,80,0.625,1164
LumenLiquidity,125,82,0.656,1163
Iliamna,127,81,0.6377952755905512,1155
齐乐,148,79,0.5337837837837838,1152
Dieter,151,97,0.6423841059602649,1151
e-toppo + kurupical,146,95,0.6506849315068494,1149
Kotaro OKUYAMA,194,107,0.5515463917525774,1149
Vadim Vasilenko,106,66,0.6226415094339622,1145
Luca,110,66,0.6,1144
Jose Coronel,38,26,0.6842105263157895,1142
shosemaru,98,60,0.6122448979591837,1142
tetsu2131,95,58,0.6105263157894737,1142
__Taichicchi__,274,167,0.6094890510948905,1142
aknomura,72,42,0.5833333333333334,1142
Azat Akhtyamov,185,113,0.6108108108108108,1136
Yushin Ito,211,122,0.5781990521327014,1134
gecogeco,110,62,0.5636363636363636,1130
Team KASA.,192,103,0.5364583333333334,1128
Yigit Kayali,89,56,0.6292134831460674,1127
Roman Nesterov,40,26,0.65,1124
Budew,79,51,0.6455696202531646,1124
那个男人,100,60,0.6,1124
Team Rot-Weiß,107,62,0.5794392523364486,1124
やる気元気ミワハルキ,103,54,0.5242718446601942,1124
Praxel,48,29,0.6041666666666666,1122
Oshbocker,108,61,0.5648148148148148,1122
me and the lads,236,125,0.5296610169491526,1122
LiamK,189,112,0.5925925925925926,1121
insuperabilehart,103,55,0.5339805825242718,1119
ZETADIVISION,26,19,0.7307692307692307,1117
Gotta Smash 'Em All,70,43,0.6142857142857143,1117
低消650元任你吃啊,128,72,0.5625,1117
J.Moriuchi,79,43,0.5443037974683544,1116
대답해드리는게인지상정,95,54,0.5684210526315789,1114
fle3n,131,76,0.5801526717557252,1113
THIRD PTCG Club,220,119,0.5409090909090909,1113
