card_id,card_name,copie_totali,tipo,categoria
7,Basic {D} Energy,73033,{D},Energy
1152,Poké Pad,62209,,Trainer
1086,Buddy-Buddy Poffin,60043,,Trainer
1227,Lillie's Determination,49269,,Trainer
1182,Boss’s Orders,36702,,Trainer
1079,Rare Candy,34675,,Trainer
1097,Night Stretcher,32667,,Trainer
1219,Team Rocket's Petrel,29445,,Trainer
112,Munkidori,29161,{P},Pokémon
1259,Spikemuth Gym,27990,,Trainer
646,Marnie's Impidimp,27914,{D},Pokémon
1225,Hilda,25693,,Trainer
1231,Dawn,24394,,Trainer
648,Marnie's Grimmsnarl ex,21092,{D},Pokémon
647,Marnie's Morgrem,20815,{D},Pokémon
1197,Xerosic’s Machinations,20457,,Trainer
19,Telepath Psychic Energy,17687,{P},Energy
742,Kadabra,17018,{P},Pokémon
741,Abra,17010,{P},Pokémon
743,Alakazam,16962,{P},Pokémon
1081,Enhanced Hammer,16640,,Trainer
1,Basic {G} Energy,15083,{G},Energy
860,Snorunt,14139,{W},Pokémon
104,Froslass,13854,{W},Pokémon
305,Dunsparce,12712,{C},Pokémon
5,Basic {P} Energy,12360,{P},Energy
1122,Pokégear 3.0,12148,,Trainer
6,Basic {F} Energy,10992,{F},Energy
66,Dudunsparce,10028,{C},Pokémon
1080,Unfair Stamp,8806,,Trainer
1266,Nighttime Mine,7794,,Trainer
1121,Ultra Ball,6905,,Trainer
20,Rock Fighting Energy,6318,{F},Energy
1142,Fighting Gong,6214,,Trainer
1134,Team Rocket's Transceiver,5418,,Trainer
15,Team Rocket's Energy,5382,{Team Rocket}{Team Rocket},Energy
401,Team Rocket's Spidops,5342,{G},Pokémon
400,Team Rocket's Tarountula,5342,{G},Pokémon
1216,Team Rocket's Ariana,5268,,Trainer
11,Mist Energy,5117,{C},Energy
1147,Jumbo Ice Cream,5095,,Trainer
1123,Switch,5068,,Trainer
1137,Tool Scrapper,5039,,Trainer
140,Fezandipiti ex,4798,{D},Pokémon
1094,Bug Catching Set,4733,,Trainer
756,Mega Kangaskhan ex,4731,{C},Pokémon
1129,Sacred Ash,4654,,Trainer
341,Cynthia's Roselia,4553,{G},Pokémon
380,Cynthia's Gabite,4552,{F},Pokémon
379,Cynthia's Gible,4552,{F},Pokémon
344,Dwebble,4505,{G},Pokémon
345,Crustle,4493,{G},Pokémon
18,Grow Grass Energy,4483,{G},Energy
1220,Team Rocket's Proton,4431,,Trainer
3,Basic {W} Energy,4356,{W},Energy
1184,Lana’s Aid,4325,,Trainer
14,Spiky Energy,4302,{C},Energy
13,Enriching Energy,4241,{C},Energy
343,Shaymin,4239,{G},Pokémon
1161,Handheld Fan,3824,,Pokémon
1218,Team Rocket's Giovanni,3789,,Trainer
1257,Team Rocket's Factory,3752,,Trainer
342,Cynthia's Roserade,3502,{G},Pokémon
1173,Cynthia's Power Weight,3417,,Pokémon
381,Cynthia's Garchomp ex,3414,{F},Pokémon
1120,Crushing Hammer,3171,,Trainer
1264,Battle Cage,3166,,Trainer
414,Team Rocket's Articuno,3111,{W},Pokémon
1159,Hero’s Cape,3110,,Pokémon
434,Team Rocket's Mimikyu,2794,{P},Pokémon
431,Team Rocket's Mewtwo ex,2678,{P},Pokémon
1198,Crispin,2396,,Trainer
1261,Forest of Vitality,2327,,Trainer
387,Cynthia's Spiritomb,2167,{D},Pokémon
8,Basic {M} Energy,2164,{M},Energy
1175,Brave Bangle,1992,,Pokémon
2,Basic {R} Energy,1917,{R},Energy
119,Dreepy,1879,竜,Pokémon
120,Drakloak,1877,竜,Pokémon
1229,Wally's Compassion,1749,,Trainer
1141,Premium Power Pro,1602,,Trainer
678,Mega Lucario ex,1555,{F},Pokémon
1102,Dusk Ball,1551,,Trainer
677,Riolu,1474,{F},Pokémon
121,Dragapult ex,1420,竜,Pokémon
1192,Carmine,1413,,Trainer
1256,Team Rocket's Watchtower,1304,,Trainer
1213,Judge,1286,,Trainer
65,Dunsparce,1247,{C},Pokémon
1087,Hand Trimmer,1216,,Trainer
1217,Team Rocket's Archer,1201,,Trainer
676,Solrock,1158,{F},Pokémon
1071,Meowth ex,1124,{C},Pokémon
4,Basic {L} Energy,1092,{L},Energy
1205,Cyrano,1055,,Trainer
1203,Surfer,1050,,Trainer
235,Budew,997,{G},Pokémon
666,Cinderace,971,{R},Pokémon
1116,Energy Switch,955,,Trainer
1119,Energy Search,938,,Trainer
292,N’s Zorua,937,{D},Pokémon
293,N’s Zoroark ex,936,{D},Pokémon
1113,N’s PP Up,934,,Trainer
675,Lunatone,810,{F},Pokémon
1185,Explorer’s Guidance,808,,Trainer
96,Teal Mask Ogerpon ex,775,{G},Pokémon
1250,Area Zero Underdepths,758,,Trainer
169,Duraludon,741,{M},Pokémon
190,Archaludon ex,740,{M},Pokémon
1174,Air Balloon,714,,Pokémon
1244,Full Metal Lab,688,,Trainer
1145,Mega Signal,668,,Trainer
848,Buneary,617,{C},Pokémon
117,Cornerstone Mask Ogerpon ex,610,{F},Pokémon
463,Team Rocket's Murkrow,601,{D},Pokémon
93,Dipplin,587,{G},Pokémon
1253,N’s Castle,580,,Trainer
1247,Neutralization Zone,552,,Trainer
164,Comfey,548,{P},Pokémon
92,Applin,548,{G},Pokémon
849,Mega Lopunny ex,512,{C},Pokémon
1245,Festival Grounds,506,,Trainer
